ticker,name,sector,sub_industry,date_added,snapshot_date
MMM,3M,Industrials,Industrial Conglomerates,1957-03-04,2026-09-18
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,2026-09-18
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1957-03-04,2026-09-18
ABBV,AbbVie,Health Care,Biotechnology,2012-12-31,2026-09-18
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,2026-09-18
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,2026-09-18
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2017-03-20,2026-09-18
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,2026-09-18
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,2026-09-18
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2000-06-05,2026-09-18
APD,Air Products,Materials,Industrial Gases,1985-04-30,2026-09-18
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18,2026-09-18
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2007-07-12,2026-09-18
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,2026-09-18
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,2026-09-18
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,2026-09-18
ALLE,Allegion,Industrials,Building Products,2013-12-02,2026-09-18
LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,2026-09-18
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,2026-09-18
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2006-04-03,2026-09-18
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2014-04-03,2026-09-18
MO,Altria,Consumer Staples,Tobacco,1957-03-04,2026-09-18
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2005-11-18,2026-09-18
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07,2026-09-18
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,2026-09-18
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,2026-09-18
AXP,American Express,Financials,Consumer Finance,1976-06-30,2026-09-18
AIG,American International Group,Financials,Multi-line Insurance,1980-03-31,2026-09-18
AMT,American Tower,Real Estate,Telecom Tower REITs,2007-11-19,2026-09-18
AWK,American Water Works,Utilities,Water Utilities,2016-03-04,2026-09-18
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,2026-09-18
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,2026-09-18
AMGN,Amgen,Health Care,Biotechnology,1992-01-02,2026-09-18
APH,Amphenol,Information Technology,Electronic Components,2008-09-30,2026-09-18
ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,2026-09-18
AON,Aon plc,Financials,Insurance Brokers,1996-04-23,2026-09-18
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,2026-09-18
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,2024-12-23,2026-09-18
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,2026-09-18
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16,2026-09-18
APP,AppLovin,Communication Services,Advertising,2025-09-22,2026-09-18
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24,2026-09-18
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2022-11-01,2026-09-18
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1957-03-04,2026-09-18
ARES,Ares Management,Financials,Asset Management & Custody Banks,2025-12-11,2026-09-18
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,2026-09-18
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,2026-09-18
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,2026-09-18
T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30,2026-09-18
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,2026-09-18
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,2026-09-18
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1981-03-31,2026-09-18
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1997-01-02,2026-09-18
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31,2026-09-18
AXON,Axon Enterprise,Industrials,Aerospace & Defense,2023-05-04,2026-09-18
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,2026-09-18
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1984-10-31,2026-09-18
BAC,Bank of America,Financials,Diversified Banks,1976-06-30,2026-09-18
BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,2026-09-18
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,2026-09-18
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,2026-09-18
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,2026-09-18
