,importance
dol_vol_21,0.11902007559130616
mom_252,0.10894265811910127
atr_21,0.11989368103060564
rev_5,0.027759270165759176
skew_63,0.042023310482998094
mom_126,0.06727510526961618
max_dd_126,0.025221757070852755
mom_21,0.020923280648468198
sma_ratio_50,0.021608108100376833
vol_63,0.06210437385600511
mom_63,0.04352027113125353
dist_52w_high,0.03605215830596218
rev_gap,0.010295584403741164
idio_vol_21,0.016594772113529915
amihud,0.03991383188516706
bb_pos,0.015478212436717693
rsi_14,0.03402955705349632
rev_1,0.003605970286388737
mom_slope,0.045975824617853635
sharpe_63,0.02280875262357736
vol_21,0.029951953079338418
vol_ratio,0.04692892273848659
vol_spike,0.0024476145588810086
vol_trend,0.037624954430516964
