,amihud,atr_21,bb_pos,dist_52w_high,dol_vol_21,idio_vol_21,max_dd_126,mom_126,mom_21,mom_252,mom_63,mom_slope,rev_1,rev_5,rev_gap,rsi_14,sharpe_63,skew_63,sma_ratio_50,vol_21,vol_63,vol_ratio,vol_spike,vol_trend
2017-01-13,0.0815,0.0059,0.015,0.1185,0.0048,0.0077,0.0713,0.0019,0.0031,0.0325,0.007,0.0041,0.0003,0.0018,0.0002,0.0039,0.009,0.0042,0.006,0.0022,0.003,0.0018,0.0003,0.0006
2017-07-17,0.006,0.002,0.0006,0.0168,0.0045,0.0035,0.0167,0.0099,0.0006,0.0028,0.003,0.0066,0.0015,0.0017,0.0017,0.0005,0.0042,0.0028,0.0024,0.0019,0.0035,0.0012,0.0005,0.0025
2018-01-16,0.0515,0.0022,0.0317,0.1883,0.0082,0.0032,0.1293,0.0029,0.0011,0.0043,0.0024,0.0044,0.0035,0.0027,0.0023,0.0056,0.0021,0.0079,0.0023,0.0042,0.0035,0.0077,0.0008,0.0035
2018-07-17,0.0977,0.002,0.0039,0.0609,0.0078,0.0003,0.0095,0.0075,0.0022,0.0068,0.0066,0.0018,0.0009,0.001,0.0014,0.0005,0.0007,0.0043,0.0036,0.0039,0.0049,0.0015,0.0002,0.0001
2019-01-16,0.0698,0.001,0.0179,0.1838,0.0055,0.0036,0.1543,0.0111,0.0005,0.0427,0.0019,0.007,0.0006,0.0014,0.0019,0.0034,0.0006,0.007,0.0007,0.0017,0.0035,0.0045,0.0004,0.0022
2019-07-18,0.1268,0.0044,0.0018,0.0383,0.0123,0.0033,0.0112,0.0032,0.0055,0.0157,0.0045,0.0106,0.0015,0.0019,0.0074,0.0024,0.0036,0.0028,0.0062,0.0027,0.0045,0.0099,0.0005,0.0002
2020-01-16,0.1141,0.0029,0.0051,0.0245,0.0117,0.0096,0.0284,0.0237,0.0063,0.0239,0.0133,0.0049,0.0033,0.0051,0.0119,0.0046,0.0042,0.0215,0.0067,0.0052,0.007,0.0048,0.0032,0.0033
2020-07-17,0.008,0.0049,0.0111,0.0066,0.0074,0.0049,0.0156,0.0442,0.003,0.0654,0.007,0.0107,0.0006,0.0008,0.0042,0.0011,0.0047,0.0087,0.0043,0.0029,0.0117,0.0172,0.0007,0.0047
2021-01-15,0.0094,0.0035,0.0091,0.013,0.0037,0.0081,0.011,0.0078,0.0008,0.031,0.0019,0.0109,0.0003,0.0005,0.0055,0.0019,0.0016,0.0069,0.0002,0.0061,0.0036,0.0027,0.0002,0.0013
2021-07-19,0.0087,0.0015,0.0418,0.0579,0.0021,0.0058,0.062,0.0122,0.0063,0.0079,0.0025,0.0023,0.0009,0.0017,0.0157,0.0077,0.017,0.0169,0.0041,0.0013,0.0065,0.0059,0.0004,0.001
2022-01-14,0.0245,0.0032,0.0343,0.152,0.0037,0.0054,0.0883,0.0087,0.0062,0.0196,0.006,0.0041,0.0011,0.0026,0.0052,0.0024,0.0032,0.0165,0.0056,0.0016,0.0021,0.0023,0.0002,0.0005
2022-07-19,0.1293,0.0003,0.0155,0.042,0.0033,0.0028,0.0076,0.0007,0.0014,0.0025,0.003,0.0029,0.0011,0.001,0.0006,0.0058,0.0061,0.0032,0.002,0.0024,0.0054,0.0031,0.0014,0.0041
2023-01-18,0.1005,0.0061,0.009,0.0428,0.0046,0.0033,0.019,0.0032,0.0087,0.0054,0.0081,0.0032,0.0004,0.0034,0.0059,0.0015,0.0035,0.0195,0.0098,0.0027,0.0074,0.0081,0.002,0.0041
2023-07-20,0.0757,0.0068,0.0025,0.1187,0.0019,0.0019,0.0564,0.0048,0.0018,0.0445,0.0021,0.0008,0.0004,0.0012,0.0075,0.0006,0.0023,0.0156,0.0011,0.0114,0.013,0.0013,0.0006,0.0005
2024-01-19,0.0222,0.0128,0.0039,0.1878,0.0015,0.0089,0.1235,0.0014,0.0011,0.0145,0.0054,0.0015,0.0011,0.0011,0.0051,0.0003,0.0027,0.0042,0.0016,0.0151,0.0104,0.0005,0.0002,0.0012
2024-07-22,0.0063,0.0054,0.0005,0.0158,0.0025,0.0012,0.0099,0.0096,0.0009,0.0229,0.0027,0.0019,0.0001,0.0007,0.0046,0.0013,0.0022,0.0241,0.0011,0.002,0.0034,0.0032,0.0009,0.0036
2025-01-22,0.0092,0.0028,0.0007,0.1642,0.0025,0.0016,0.1338,0.0102,0.0011,0.0076,0.0123,0.0016,0.0004,0.0009,0.0014,0.0013,0.0069,0.0081,0.0038,0.002,0.0018,0.0006,0.0002,0.0002
2025-07-24,0.0051,0.0073,0.0063,0.0282,0.0057,0.0037,0.0203,0.0853,0.0042,0.1001,0.0345,0.0024,0.0002,0.0005,0.0026,0.0001,0.0008,0.0081,0.0074,0.0019,0.0035,0.0009,0.0001,0.0005
