,importance
mom_252,0.05719515223744989
dol_vol_21,0.07225148003332178
vol_63,0.05969208270865189
atr_21,0.10140620637656188
amihud,0.0521762120887024
vol_ratio,0.06222868549492704
max_dd_126,0.05646524577260595
sma_ratio_50,0.028999061034717027
skew_63,0.054388538671671656
mom_slope,0.04677587417408267
vol_21,0.022351052470679842
mom_21,0.0257757391867651
dist_52w_high,0.06279556307713627
mom_126,0.08728261113004937
sharpe_63,0.03900506082289641
mom_63,0.03588723245435471
idio_vol_21,0.023502873996125103
rev_gap,0.02651867133140667
bb_pos,0.02322289493482509
vol_trend,0.022083805206392092
rev_5,0.010871136943493403
rsi_14,0.014940810963286305
vol_spike,0.008212994134633528
rev_1,0.005971014755263932
