,importance
vol_21,0.09012844627494081
idio_vol_21,0.03948303205544664
mom_63,0.09785508561901568
mom_252,0.04835152274071166
max_dd_126,0.043680358195532065
mom_21,0.06548015367804781
vol_63,0.0402298202557411
sharpe_63,0.06095382714832279
bb_pos,0.028199290455274962
vol_ratio,0.0718386779537268
atr_21,0.05650381954686975
mom_126,0.05336996531321764
dist_52w_high,0.047811333470671256
skew_63,0.022373501625292887
amihud,0.03870327782570001
rev_5,0.021690660077937875
sma_ratio_50,0.06113880355587597
rsi_14,0.02830517717849809
dol_vol_21,0.016952988799736418
vol_trend,0.0071244712101898346
rev_gap,0.016343252092396243
rev_1,0.017681398847245188
vol_spike,0.00470490731786763
mom_slope,0.021096228761740953
